Feature,Importance
Origin_Type_Ciudad Fronteriza,0.055947825
Capacity,0.04022042
Origin_Type_Playa,0.02542482
Route_ID_7374,0.02296462
Destination_Type_Playa,0.020170936
Destination_Type_MX Amigos y Familia,0.019313343
Route_ID_1330,0.016987232
Duration,0.016297417
Origin_Type_MX Amigos y Familia,0.01506825
Route_ID_8906,0.014376684
Destination_Type_Ciudad Principal,0.014343335
Origin_Type_Ciudad Principal,0.011864562
Route_ID_8590,0.011785794
Route_ID_4600,0.011087677
Route_ID_8583,0.010385589
Destination_Type_Ecoturismo,0.009883257
Route_ID_4544,0.009535402
Route_ID_7332,0.009407278
Destination_Type_Ciudad Fronteriza,0.009086745
Route_ID_7731,0.008605732
Route_ID_3935,0.0072656185
Route_ID_462,0.0071790908
Route_ID_8011,0.007109815
Route_ID_6319,0.006723614
Route_ID_4766,0.006708661
Route_ID_4374,0.006628743
Route_ID_7326,0.0066144955
Route_ID_3407,0.0065787993
Route_ID_4773,0.0065782936
Route_ID_8560,0.0065545295
Route_ID_1039,0.006176301
Route_ID_1088,0.006121258
Route_ID_2343,0.0061202184
Route_ID_265,0.00609924
Route_ID_4303,0.0059080883
Route_ID_4519,0.0056271413
Route_ID_3350,0.0055543706
Origin_Type_Ecoturismo,0.0054641594
Route_ID_626,0.0053703305
Route_ID_3309,0.0053287186
Route_ID_3115,0.005290987
Route_ID_8039,0.0052637313
Route_ID_4049,0.0051511033
Route_ID_9369,0.005122541
Route_ID_1253,0.0051027853
Route_ID_9130,0.004997423
Route_ID_8239,0.0049823355
Route_ID_4357,0.0047654714
Route_ID_1068,0.004663777
Route_ID_3963,0.0045692027
Route_ID_6325,0.0045634583
Route_ID_4833,0.004499157
Route_ID_133,0.004468916
Route_ID_4341,0.00440814
Route_ID_8048,0.0043491977
Route_ID_7677,0.0043133805
Route_ID_3452,0.0042896927
Route_ID_4300,0.004219989
Route_ID_3418,0.004149455
Route_ID_2134,0.004106147
Bookings,0.004077823
Route_ID_4420,0.00399349
Route_ID_7059,0.0039921394
Route_ID_38,0.0039814916
Route_ID_320,0.003955773
Route_ID_5041,0.003890649
Route_ID_4380,0.0038532852
Route_ID_8054,0.00383611
