Feature,Importance
Origin_Type_Playa,0.047203228
Destination_Type_Playa,0.03467091
Route_ID_2133,0.030226072
Origin_Type_MX Amigos y Familia,0.029552465
Destination_Type_MX Amigos y Familia,0.025852192
Destination_Type_Ciudad Principal,0.021633403
Route_ID_1161,0.0145862885
Duration,0.01397322
Capacity,0.01290877
Origin_Type_Ciudad Fronteriza,0.010266878
Route_ID_1624,0.009917383
Route_ID_1504,0.009432108
Origin_Type_Ecoturismo,0.008392009
Destination_Type_Ecoturismo,0.008240342
Route_ID_2241,0.007513996
Route_ID_106,0.0068142354
Route_ID_1664,0.006775754
Route_ID_7597,0.006058749
Route_ID_534,0.00596496
Route_ID_2013,0.005877321
Route_ID_2564,0.005647309
Route_ID_755,0.005391808
Route_ID_634,0.005368642
Route_ID_362,0.0052506216
Route_ID_706,0.005028919
Origin_Type_Ciudad Principal,0.0049887206
Route_ID_2717,0.0049853195
Route_ID_1234,0.0049773124
Route_ID_798,0.0049606985
Route_ID_266,0.0047665224
Route_ID_853,0.0047659124
Bookings,0.004668368
Route_ID_1924,0.004553017
Route_ID_618,0.004442197
Route_ID_5049,0.004416124
Route_ID_3155,0.0043107364
Route_ID_910,0.004226165
Route_ID_3304,0.0041178735
Route_ID_6007,0.0038168808
Route_ID_3769,0.0037733505
Destination_Type_Ciudad Fronteriza,0.0036699513
Route_ID_1252,0.0035186852
Route_ID_1379,0.0035103078
Route_ID_1851,0.0033686187
Route_ID_2161,0.0033489051
Route_ID_1523,0.0032495724
Route_ID_3356,0.0032397828
Route_ID_594,0.0030762705
Route_ID_3121,0.003055834
Route_ID_2979,0.0030368294
Route_ID_2257,0.0030217275
Route_ID_2178,0.003010811
Route_ID_883,0.0029462175
Route_ID_993,0.0029064724
Route_ID_1165,0.002894295
Route_ID_759,0.0028865829
Route_ID_1697,0.0028859996
Route_ID_440,0.0028843486
Route_ID_2479,0.0028296262
Route_ID_1621,0.002814345
Route_ID_1623,0.0027981284
Route_ID_2846,0.0027604536
Route_ID_2648,0.002725772
Route_ID_397,0.0027205201
Route_ID_3077,0.0027194775
Route_ID_3834,0.002717387
Route_ID_925,0.0026966874
Route_ID_2916,0.0026940051
Route_ID_3281,0.0026450707
Route_ID_453,0.0026369581
Route_ID_5092,0.0025981683
Route_ID_2969,0.0025923299
Route_ID_1756,0.0025496832
Route_ID_1194,0.0025434713
Route_ID_1720,0.0025371774
Route_ID_415,0.002519662
Route_ID_147,0.0024873046
Route_ID_193,0.0024587687
Route_ID_57,0.0024359997
Route_ID_2569,0.0024270068
Route_ID_1199,0.0023341249
Route_ID_3144,0.0023284026
Route_ID_373,0.0023241013
Route_ID_2798,0.002290544
Route_ID_970,0.0022900978
Route_ID_5338,0.0022515461
Route_ID_4218,0.0022440162
Route_ID_836,0.0022333055
Route_ID_8075,0.0022192062
Route_ID_4401,0.0021965464
Route_ID_1800,0.0021854774
Route_ID_4477,0.002180449
Route_ID_3349,0.0021542981
Route_ID_812,0.0021161814
Route_ID_5451,0.0020818058
Route_ID_105,0.0020553365
Route_ID_1789,0.0020495933
Route_ID_1017,0.002032663
Route_ID_294,0.0020233865
Route_ID_1667,0.0020163266
Route_ID_784,0.002011433
Route_ID_1090,0.001984743
Route_ID_1977,0.0019707622
Route_ID_1475,0.0019487593
Route_ID_6407,0.0019447969
Route_ID_4454,0.0019379545
Route_ID_690,0.001916517
Route_ID_6859,0.0019135444
Route_ID_4079,0.0018867394
Route_ID_4259,0.0018769155
Route_ID_3775,0.0018745046
Route_ID_650,0.0018494626
Route_ID_2619,0.0018422408
Route_ID_1089,0.0018379863
Route_ID_556,0.001820333
Route_ID_1998,0.0018092282
Route_ID_1047,0.0018068365
Route_ID_2292,0.0018010001
Route_ID_3167,0.0017956595
Route_ID_3541,0.001792942
Route_ID_4611,0.0017811747
Route_ID_80,0.0017675993
Route_ID_86,0.0017599205
Route_ID_316,0.0017522366
Route_ID_1051,0.0017354595
Route_ID_1887,0.0017179733
Route_ID_124,0.0017175492
Route_ID_178,0.00168319
Route_ID_1946,0.0016733838
Route_ID_2313,0.0016721647
Route_ID_512,0.0016715182
Route_ID_3577,0.0016503166
Route_ID_1948,0.00164373
Route_ID_822,0.0016436162
Route_ID_626,0.0016311409
Route_ID_8980,0.0016150088
Route_ID_1467,0.0015963919
Route_ID_3722,0.0015915795
Route_ID_2136,0.0015878469
Route_ID_2720,0.0015855172
Route_ID_3237,0.0015730185
Route_ID_1131,0.001572516
Route_ID_509,0.0015687103
Route_ID_1409,0.0015680933
Route_ID_1042,0.0015644066
Route_ID_1127,0.0015639244
Route_ID_4035,0.0015530775
Route_ID_1313,0.0015398869
Route_ID_1011,0.0015335615
Route_ID_864,0.0015311154
Route_ID_5341,0.0015149795
Route_ID_2918,0.0014921654
Route_ID_501,0.0014902927
Route_ID_4236,0.0014901462
Route_ID_473,0.0014768507
Route_ID_590,0.0014652974
Route_ID_3311,0.0014650763
Route_ID_557,0.0014519427
Route_ID_2408,0.0014498375
Route_ID_2643,0.0014366511
Route_ID_771,0.0014312186
Route_ID_2128,0.0014261381
Route_ID_1372,0.0014246302
Route_ID_2616,0.0014236711
Route_ID_3245,0.0014218404
Route_ID_533,0.0014055239
Route_ID_2942,0.0014034547
Route_ID_1400,0.001401875
Route_ID_758,0.0013829905
Route_ID_248,0.0013826273
Route_ID_7530,0.0013784991
Route_ID_413,0.0013771226
Route_ID_1872,0.0013557666
Route_ID_2127,0.0013509722
Route_ID_1053,0.0013396877
Route_ID_30,0.0013396388
Route_ID_821,0.0013367108
Route_ID_404,0.001319569
Route_ID_2244,0.0013060005
Route_ID_1450,0.0013035686
Route_ID_3677,0.0012954414
Route_ID_611,0.0012937761
Route_ID_3025,0.0012922407
Route_ID_6803,0.0012916891
Route_ID_299,0.0012849595
Route_ID_689,0.0012800464
Route_ID_2048,0.0012783706
Route_ID_1874,0.0012752811
Route_ID_633,0.001270879
Route_ID_2581,0.0012650742
Route_ID_1773,0.0012635251
Route_ID_2025,0.0012630556
Route_ID_46,0.001262138
Route_ID_5122,0.0012620754
Route_ID_1149,0.0012515545
Route_ID_2812,0.0012508362
Route_ID_2107,0.0012468789
Route_ID_2949,0.0012420242
Route_ID_286,0.0012357736
Route_ID_748,0.001234822
Route_ID_3603,0.0012326733
Route_ID_1890,0.0012325776
Route_ID_1316,0.0012176199
Route_ID_1682,0.0012100054
Route_ID_6003,0.0012050786
Route_ID_946,0.0011996818
Route_ID_3946,0.0011985308
Route_ID_6363,0.0011918942
Route_ID_1657,0.0011895896
Route_ID_4617,0.0011849146
Route_ID_1410,0.0011822802
Route_ID_2164,0.0011699438
Route_ID_3187,0.0011677761
Route_ID_1142,0.0011609037
Route_ID_2701,0.0011556826
Route_ID_3780,0.0011518238
Route_ID_3854,0.0011505979
Route_ID_2544,0.0011497358
Route_ID_1880,0.001147079
Route_ID_544,0.0011465705
Route_ID_4910,0.0011431805
Route_ID_972,0.0011416171
Route_ID_4510,0.0011150732
Route_ID_1801,0.001112097
Route_ID_9404,0.0011026011
Route_ID_3307,0.0010992603
Route_ID_1402,0.00108915
Route_ID_449,0.0010863519
Route_ID_3050,0.0010840592
Route_ID_934,0.0010839826
Route_ID_5903,0.0010834009
Route_ID_6414,0.0010818903
Route_ID_258,0.0010778061
Route_ID_3357,0.0010765318
Route_ID_621,0.0010752656
Route_ID_3982,0.0010595411
Route_ID_1658,0.0010571387
Route_ID_4462,0.001056314
Route_ID_2246,0.0010542987
Route_ID_377,0.0010529669
Route_ID_491,0.0010523928
Route_ID_1519,0.0010518125
Route_ID_1757,0.0010500778
Route_ID_1889,0.0010417069
Route_ID_1587,0.001041278
Route_ID_3379,0.0010411702
Route_ID_3115,0.0010404682
Route_ID_3507,0.0010356451
Route_ID_713,0.0010283898
Route_ID_400,0.0010201207
Route_ID_720,0.0010197959
Route_ID_6696,0.0010183236
Route_ID_3529,0.0010109709
Route_ID_837,0.0010006215
Route_ID_1841,0.0010000466
Route_ID_4027,0.0009993055
Route_ID_2492,0.0009983687
Route_ID_1984,0.0009947526
Route_ID_1659,0.0009939864
Route_ID_7237,0.000992212
Route_ID_6837,0.0009911684
Route_ID_4970,0.0009898004
Route_ID_4428,0.000988445
Route_ID_4557,0.0009826224
Route_ID_1276,0.0009797063
Route_ID_1962,0.0009760398
Route_ID_220,0.00097438064
Route_ID_249,0.0009730618
Route_ID_1557,0.00097273564
Route_ID_16,0.0009704344
Route_ID_613,0.00096868846
Route_ID_1319,0.0009679405
Route_ID_1578,0.0009675412
Route_ID_1471,0.00096449506
Route_ID_8627,0.0009629366
Route_ID_736,0.0009626385
Route_ID_383,0.0009565666
Route_ID_163,0.00095416786
Route_ID_6345,0.0009524066
Route_ID_406,0.0009505353
Route_ID_257,0.0009482799
Route_ID_1415,0.00094805105
Route_ID_9840,0.00094289874
Route_ID_2550,0.00094275875
Route_ID_6368,0.00094272714
Route_ID_2113,0.00094107987
Route_ID_74,0.00093914504
Route_ID_1218,0.00093808904
Route_ID_761,0.0009352855
Route_ID_2096,0.0009346495
Route_ID_4066,0.00093456946
Route_ID_4181,0.00092905207
Route_ID_3588,0.0009288653
Route_ID_241,0.0009240043
Route_ID_828,0.00092272117
Route_ID_3145,0.0009224051
Route_ID_1232,0.0009188741
Route_ID_7848,0.000917073
Route_ID_3216,0.00091704336
Route_ID_832,0.00090979965
Route_ID_1340,0.00090727204
Route_ID_6446,0.0009048666
Route_ID_445,0.0009036781
Route_ID_5175,0.0009032378
Route_ID_2804,0.0009021053
Route_ID_3711,0.00090202515
Route_ID_4101,0.0008982532
Route_ID_1562,0.00089644565
Route_ID_1684,0.00089606567
